CODIGO_BP ,Ficha,AREA,NOMBRE_PROYECTO,PRESUPUESTO ACTUAL,PTTO ACTIVIDAD,CDP,EJECUCION,DISPONIBLE,% EJECUCION,POSPRE,VIGENCIA_FONDO,FONDO,ACTIVIDADES,ORIGEN,COMUNA,LINEA,AREA_FUNCIONAL,NOMBRE_AREA_FUNCIONAL,CENTRO_COSTO,NOMBRE_CENTRO_COSTO
21042434,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,"$4,842,667,603 ",85306680,0,85306680,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal,REALIZAR MANTENIMIENTO PODA ARBOREA 22 COMUNAS,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,96697565,0,96697565,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal,REALIZAR TALA ARBOREA 22 COMUNAS,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,148385870,0,148385870,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal,REALIZAR LA PODA Y TALA DE ARBOLES POR EMERGENCIAS AMBIENTALES,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,799051468,0,799051468,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal, REALIZAR LA TALA DE ARBOLES POR  EMERGENCIAS EN LAS 22 COMUNAS ,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,14228306,0,14228306,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal,COMPRAR INSUMOS Y MATERIALES DE EMERGENCIA,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,55050000,0,55050000,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal,DOTAR INSUMOS  PARA LA ATENCION DE EMERGENCIAS ,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,57000000,0,57000000,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal, COMPRAR INSUMOS PARA MAQUINARIA  Y MATERIALES PARA EMERGENCIAS ,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,63402289,0,63402289,0,1,2-302010101   Dot/AdqMaq/Equipo,0,1201  -   Saneamiento Fiscal,ADQUIRIR MAQUINARIA Y EQUIPO PARA ATENCION DE EMERGENCIAS,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,31273500,0,31273500,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal,ADQUIRIR HERRAMIENTAS MENORES PARA ATENCION DE EMERGENCIAS,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,1088072337,0,1088072337,0,1,2-30503   Aten/Ctrol/Orga/Inst,0,1201  -   Saneamiento Fiscal,REALIZAR CONCEPTOS TECNICOS PARA  LABORES DE MANTENIMIENTO ARBOREO,DEPENDENCIA,99,34,34040010019,"RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES, JARDINES, PARQUES Y POBLACION ARBOREA DEL MUNICIPIO DE SANTIAGO DE CALI",4133010103, Grupo Proteccion
