CODIGO_BP ,Ficha,AREA,NOMBRE_PROYECTO,PRESUPUESTO ACTUAL,PTTO ACTIVIDAD,CDP,EJECUCION,DISPONIBLE,% EJECUCION,POSPRE,VIGENCIA_FONDO,FONDO,ACTIVIDADES,ORIGEN,COMUNA,LINEA,AREA_FUNCIONAL,NOMBRE_AREA_FUNCIONAL,CENTRO_COSTO,NOMBRE_CENTRO_COSTO,,,
21042434,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI," $ 4,842,667,603 ",85306680,0,85306680,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal,Realizar Mantenimiento poda arbórea 22 comunas,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,96697565,0,96697565,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal,Realizar Tala arbórea 22 comunas,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,148385870,0,148385870,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal,Realizar la poda y tala de arboles por emergencias ambientales,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,799051468,0,799051468,0,1,2-301010311   ProgSaneamiento Amb,0,1201  -   Saneamiento Fiscal, Realizar la Tala de Arboles por  emergencias en las 22 comunas ,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,14228306,0,14228306,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal,Comprar insumos y materiales de emergencia,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,55050000,0,55050000,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal,Dotar insumos  para la atención de emergencias ,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,57000000,0,57000000,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal, Comprar Insumos para maquinaria  y Materiales para emergencias ,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,63402289,0,63402289,0,1,2-302010101   Dot/AdqMaq/Equipo,0,1201  -   Saneamiento Fiscal,Adquirir Maquinaria y Equipo para atención de emergencias,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,31273500,0,31273500,0,1,2-302010134   Adqui Mater y Sumini,0,1201  -   Saneamiento Fiscal,Adquirir Herramientas menores para atención de emergencias,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
,21042434,ARBORIZACION ZONAS VERDES,MANTENIMIENTO INTEGRAL DE ZONAS VERDES Y SEPARADORES VIALES DE LAS 22 COMUNAS DE LA CIUDAD DE SANTIAGO DE CALI,,1088072337,0,1088072337,0,1,2-30503   Aten/Ctrol/Orga/Inst,0,1201  -   Saneamiento Fiscal,Realizar Conceptos Técnicos para  Labores de Mantenimiento Arbóreo,DEPENDENCIA,99,34,34040010019,"Recuperación y mantenimiento de zonas verdes, jardines, parques y población arborea del Municipio de Santiago de Cali",4133010103, Grupo Protección,,,
